municipio_norm,Nome_Municipio,GINI,E_ANOSESTUDO,PERC_FUND_COMP,PERC_MED_COMP,T_FREQ1517_FUND,TX_ANALF,IDHM_R,IDHM_E,IDHM,CRIAN_VULN,NEET_VULN,EDU_Aplicacao_Total,EDU_Perc_Aplicacao,EDU_Alunos,EDU_Investimento_Aluno,EDU_ReceitaFUNDEB,IVCAD,IVCAD_NC,IVCAD_DPI,IVCAD_DCA,IVCAD_TQA,IVCAD_DR,IVCAD_CH,IVCAD_COBERTURA,IND_REND_2023,NOTA_MEDIA_SAEB_2023,IDEB_2023,NO_MUNICIPIO_PROVA,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO,NOTA_MEDIA,QTD_CANDIDATOS,PERC_ESCOLA_PUB
BAIXO GUANDU,Baixo Guandu,0.48,9.87,40.22,26.78,4.0,13.15,0.67,0.637,0.702,32.75,11.0,25051277.2,27.46,4039,6202.35,27194933.27,0.2724422645739914,0.4046505044843048,0.0799274103139012,0.03127802690582956,0.6351858183856534,0.3839686098654708,0.09957707399103143,0.493512420942818,0.996658,280.46,4.8,Baixo Guandu,496.6461538461539,504.60185185185185,521.2759259259259,532.5570512820512,607.6543209876543,530.5041104294478,209.0,100.0
BARRA DE SAO FRANCISCO,Barra de São Francisco,0.5,9.0,36.87,23.3,6.74,15.72,0.673,0.58,0.683,32.26,13.22,34279364.12,28.0,5108,6710.92,33718309.97,0.2750997741736812,0.3729310203243681,0.0974163416136316,0.04278382262369119,0.6654576062410236,0.3370971053171833,0.1348618353520839,0.5413195915101887,0.955527,287.35,4.9,Barra de São Francisco,475.98384146341465,489.2184971098266,512.3736994219653,513.7234756097561,605.7225433526012,517.2561671469741,486.0,100.0
BOA ESPERANCA,Boa Esperança,0.45,9.22,34.05,23.27,4.67,16.51,0.651,0.59,0.679,34.55,13.2,14399592.33,29.45,2027,7103.89,14042238.3,0.2800898921294447,0.3502121454254894,0.08505593288054325,0.05721134638433873,0.6449192968437885,0.354974031162605,0.188163803435877,0.7350088183421517,0.995629,284.94,5.0,,,,,,,,,
BOM JESUS DO NORTE,Bom Jesus do Norte,0.48,9.93,52.01,37.28,1.54,9.15,0.689,0.673,0.734,14.21,12.42,10373783.47,29.63,1237,8386.24,8407398.66,0.236092378752887,0.325329676674365,0.05847228637413392,0.02909930715935335,0.592112009237875,0.3458429561200924,0.06569572748267914,0.7017749171055198,0.982759,275.06,4.6,,,,,,,,,
BREJETUBA,Brejetuba,0.48,9.47,27.13,17.71,9.41,18.93,0.63,0.54,0.656,48.26,8.02,12397028.35,27.88,1599,7752.99,10554146.7,0.2708479899497487,0.4050351758793969,0.1251513819095476,0.03241206030150754,0.6621614321608034,0.2198492462311558,0.1804227386934675,0.6110897189064305,0.978938,288.04,4.9,Brejetuba,480.76162790697674,498.3763440860215,518.1548387096774,526.7151162790698,628.6021505376344,529.2894623655914,126.0,100.0
CACHOEIRO DE ITAPEMIRIM,Cachoeiro de Itapemirim,0.52,9.61,51.69,34.65,1.42,5.71,0.733,0.677,0.746,25.25,9.32,118747684.42,26.25,22050,5385.38,159647880.19,0.266381406509568,0.4134685904140791,0.07598523349535458,0.04941856887959171,0.6190489140466265,0.3509659755122131,0.08932892389097355,0.3899917108931782,0.967839,292.79,5.0,Cachoeiro de Itapemirim,484.05441783649877,501.50950896336707,519.1014029618083,524.0668042939719,636.601714731099,532.2008002078462,1556.0,100.0
CARIACICA,Cariacica,0.45,9.38,49.63,32.11,1.64,6.08,0.699,0.628,0.718,26.98,10.46,186070692.48,25.72,49366,3769.21,354933240.64,0.2725338629551196,0.4144488020625883,0.1049090280252363,0.04148238204037082,0.605694866581403,0.3733728802901042,0.09522709455636037,0.5329555773697209,0.974664,277.25,4.5,Cariacica,476.7408435072142,496.1112105263158,515.9421578947369,502.77863485016644,597.3684210526316,516.2432055993,2355.0,100.0
CASTELO,Castelo,0.45,8.07,41.94,27.87,1.48,8.42,0.703,0.639,0.726,31.96,5.61,40547749.9,37.57,4720,8590.62,32199371.3,0.259807318022577,0.3997543791358505,0.0883250291942389,0.0403269754768392,0.6178034254573773,0.2743285325029194,0.1382456208641496,0.323124830760899,0.931267,288.63,4.8,Castelo,493.5717277486911,506.85763546798034,526.8832512315271,542.6314136125654,629.2610837438424,537.3639408866995,237.0,100.0
COLATINA,Colatina,0.51,8.89,47.45,32.13,1.12,7.71,0.738,0.668,0.746,24.7,8.19,91074609.87,32.39,15415,5908.18,111776775.39,0.252251918976545,0.403587313432837,0.08403400852878445,0.05300639658848635,0.614526652452028,0.2518123667377399,0.1064520255863538,0.3881599226879275,0.954913,287.15,4.8,Colatina,506.252581032413,518.4464530892449,531.0495423340961,544.100600240096,662.4713958810069,551.240372481946,1087.0,100.0
CONCEICAO DA BARRA,Conceição da Barra,0.5,9.73,38.54,24.69,6.78,15.23,0.648,0.603,0.681,35.2,18.93,25095734.29,27.22,5178,4846.61,37326826.88,0.2707468375225891,0.3248434368325931,0.0658419582717265,0.03610974207327086,0.6458386725809162,0.4080006571381633,0.1438661080992275,0.8211086022288586,0.990643,273.0,4.6,Conceição da Barra,471.4449275362319,477.25347222222223,508.76458333333335,494.05289855072465,579.1666666666666,504.67319444444445,170.0,100.0
CONCEICAO DO CASTELO,Conceição do Castelo,0.51,8.08,31.83,20.91,6.21,12.1,0.685,0.541,0.67,45.77,7.65,15114152.77,32.45,1487,10164.19,9844674.22,0.2725957943925235,0.4142982866043612,0.1037819314641743,0.04190031152647976,0.6423816199376942,0.3140576323987539,0.1190996884735205,0.4937589008963727,0.939424,297.16,5.1,,,,,,,,,
DIVINO DE SAO LOURENCO,Divino de São Lourenço,0.51,9.39,26.26,14.43,10.34,15.09,0.622,0.496,0.632,54.04,13.8,7210677.32,28.49,515,14001.32,3314742.88,0.2773905511811024,0.3909590551181102,0.1254,0.04535433070866143,0.6542960629921256,0.2740157480314961,0.1744267716535434,0.5896124336022034,1.0,278.13,4.9,,,,,,,,,
DOMINGOS MARTINS,Domingos Martins,0.48,8.52,27.33,16.28,3.09,10.98,0.68,0.528,0.669,49.13,5.44,42475641.08,34.34,5378,7898.04,35099561.28,0.2616860568383659,0.3955905861456483,0.09588232682060381,0.03809946714031971,0.6402193605683837,0.2108126110124334,0.1895888099467139,0.3471594759430766,0.982986,309.12,5.7,Domingos Martins,510.24955223880596,526.863768115942,532.0408695652175,556.5764179104477,733.9710144927536,571.2037874396135,402.0,100.0
DORES DO RIO PRETO,Dores do Rio Preto,0.49,10.04,28.65,16.07,7.86,17.59,0.635,0.542,0.654,43.24,16.53,8395789.14,26.57,788,10654.55,5871737.61,0.26558835546476,0.3729530132788559,0.1085577119509703,0.03411644535240042,0.655324821246169,0.2768130745658836,0.1458059244126661,0.6605518496058217,0.974975,288.3,5.1,,,,,,,,,
ECOPORANGA,Ecoporanga,0.49,9.16,31.49,21.25,8.54,20.41,0.631,0.562,0.662,39.52,16.75,25627504.13,33.98,2177,11771.94,14607615.92,0.2657761432683087,0.3442526383114807,0.06307355292612721,0.0509114166933162,0.6705986568596132,0.3303485769107771,0.1354451551007354,0.5865769370680247,0.965825,259.91,4.1,Ecoporanga,463.53153846153845,474.71500000000003,491.98642857142863,493.29538461538465,511.2857142857143,484.68652380952375,182.0,100.0
FUNDAO,Fundão,0.49,8.83,41.71,29.55,1.64,9.26,0.708,0.623,0.718,35.84,11.21,18325582.36,30.67,2747,6671.13,18352487.15,0.2748817696414954,0.3790999237223494,0.08030625476735305,0.06773455377574361,0.630843249427919,0.3543096872616324,0.1369050343249427,0.6202398134784057,0.974085,279.68,4.7,,,,,,,,,
GOVERNADOR LINDENBERG,Governador Lindenberg,0.45,9.69,32.53,18.95,3.71,11.39,0.669,0.608,0.694,40.66,10.89,13051083.16,29.82,981,13303.86,6158933.17,0.2856065162907269,0.3713893065998329,0.0929707602339181,0.04444444444444446,0.6725806182121965,0.339390142021721,0.1928763575605683,0.5292942138250523,0.980788,280.08,4.7,,,,,,,,,
GUACUI,Guaçuí,0.52,8.97,42.13,28.75,3.33,12.84,0.691,0.595,0.703,37.81,11.14,18939283.88,26.19,4304,4400.39,33920575.7,0.277752747252748,0.3492342032967028,0.07329647435897421,0.06437728937728929,0.6687683150183198,0.388507326007326,0.1222994505494507,0.5997002520607672,1.0,285.13,5.1,Guaçuí,489.43463035019454,502.0543795620438,513.5525547445255,518.1922178988326,613.5036496350365,524.8915328467153,313.0,100.0
GUARAPARI,Guarapari,0.58,8.91,52.76,37.87,2.05,6.59,0.746,0.626,0.731,29.22,10.32,78974690.86,28.38,20965,3766.98,135944303.55,0.2450982450103231,0.417884807295253,0.08688394700619394,0.04125946317962853,0.5930331211286973,0.2362998967653132,0.09520844803854071,0.413786741111539,0.948027,294.21,4.9,Guarapari,494.77277486911,509.41130653266333,525.0914572864322,521.6183246073299,610.0,530.8050563204005,952.0,100.0
IBATIBA,Ibatiba,0.45,8.39,25.44,14.92,4.2,17.9,0.651,0.501,0.647,45.7,10.9,16040061.71,25.55,4156,3859.5,31158435.71,0.2690680537494582,0.4344681404421325,0.1242158647594277,0.06441265713047241,0.673811443433031,0.179778933680104,0.1377342869527526,0.4864854215918046,0.876422,,,,,,,,,,,
IBIRACU,Ibiraçu,0.56,8.74,42.79,26.72,2.06,8.08,0.733,0.625,0.726,33.24,8.4,9501148.59,24.83,1321,7192.39,9202195.1,0.2713039568345324,0.3773537170263789,0.08488788968824933,0.034052757793765,0.6373944844124695,0.3697541966426858,0.1243153477218227,0.7863174955216241,0.970142,291.6,4.8,,,,,,,,,
IBITIRAMA,Ibitirama,0.47,9.44,23.21,14.37,9.18,19.04,0.609,0.481,0.622,57.09,16.36,12739356.88,42.1,1423,8952.46,9763016.36,0.2984888779041029,0.3608512110726643,0.09947899159663853,0.0463667820069204,0.6814893722194761,0.3855659911023233,0.2171290163124071,0.803046218487395,0.989449,259.26,4.3,,,,,,,,,
ICONHA,Iconha,0.45,9.09,41.01,27.69,1.81,8.28,0.709,0.658,0.729,26.03,4.77,13575601.38,27.65,1581,8586.72,10711302.58,0.2600144032921811,0.3667067901234567,0.05929629629629631,0.04320987654320989,0.6313858024691352,0.3060699588477366,0.1532489711934158,0.3730326139866948,0.956274,296.58,5.1,,,,,,,,,
IRUPI,Irupi,0.51,7.82,24.03,15.57,5.41,18.56,0.658,0.493,0.637,53.4,8.26,11176960.43,26.02,1785,6261.6,12931799.77,0.2854093919325709,0.4128025285972305,0.1255719446116796,0.04708007224563516,0.6768819987959054,0.24894641782059,0.2011475015051173,0.6159008023340627,0.973684,294.13,5.3,,,,,,,,,
ITAGUACU,Itaguaçu,0.43,9.78,34.76,22.93,1.8,13.42,0.672,0.641,0.702,32.83,6.69,11025569.2,25.01,1416,7786.42,9225023.29,0.2749493927125506,0.3572314439946019,0.09914709851551949,0.05735492577597841,0.6438630229419696,0.3645411605937921,0.1274979757085022,0.4942232688203694,1.0,281.26,4.9,,,,,,,,,
ITAPEMIRIM,Itapemirim,0.44,8.94,33.83,20.1,3.06,11.57,0.64,0.54,0.654,38.27,18.29,51134697.02,27.89,7690,6649.51,52736940.87,0.2781674653542289,0.3442052842895987,0.06346949876958928,0.04271467426499159,0.6646089884730016,0.4378318870612614,0.1161459655485035,0.68771339626431,0.972922,290.13,4.8,Itapemirim,485.9991869918699,489.6639534883721,509.8980620155039,524.9817073170732,646.9767441860465,530.0927390180879,298.0,100.0
ITARANA,Itarana,0.47,9.24,33.8,20.6,2.08,10.05,0.696,0.568,0.684,41.31,4.88,14802222.5,35.21,919,16106.88,6054346.2,0.2741100543478261,0.3912989130434782,0.09732608695652177,0.06168478260869566,0.6392010869565211,0.2730978260869565,0.1820516304347828,0.3830329338492026,0.988591,277.59,4.7,,,,,,,,,
IUNA,Iúna,0.5,9.1,32.32,19.17,4.92,15.25,0.665,0.537,0.666,51.79,12.32,19541770.91,27.37,3559,5490.8,25360080.31,0.2718870305164321,0.4116602112676054,0.1069542253521125,0.0367957746478873,0.6698984741784071,0.2505868544600939,0.1554410211267605,0.5248688352570829,0.967473,302.48,5.3,Iúna,500.82015706806277,516.6767901234568,527.8091358024692,547.4759162303665,653.4320987654321,547.3900082304527,522.0,100.0
JAGUARE,Jaguaré,0.56,8.66,34.36,22.21,4.91,13.7,0.678,0.568,0.678,41.88,15.87,24664965.18,25.61,5407,4561.67,38634016.18,0.2818751401031164,0.4021223940820441,0.08879421654337574,0.02900694911454827,0.673758798475683,0.3545169244563999,0.1430132257341403,0.6314679755279804,0.993995,272.69,4.7,Jaguaré,492.116,500.3857142857143,521.8371428571428,527.2528000000001,686.7142857142857,543.5740476190476,186.0,100.0
JERONIMO MONTEIRO,Jerônimo Monteiro,0.54,9.55,38.83,26.23,5.96,13.11,0.685,0.589,0.698,32.78,15.75,10890138.16,32.12,1626,6697.5,9897086.2,0.2666258106355384,0.3647328145265888,0.07626848249027235,0.03476005188067446,0.6413242542153044,0.3696498054474708,0.1129299610894944,0.5896328293736501,0.959905,273.84,4.4,,,,,,,,,
JOAO NEIVA,João Neiva,0.53,9.55,49.7,37.42,2.71,7.71,0.751,0.663,0.753,21.8,9.58,16412753.52,26.91,2149,7637.39,14012033.17,0.2413863804589195,0.3671458179126573,0.07447668393782382,0.015099925980755,0.625951147298297,0.2818282753515914,0.08360103626943019,0.4972654307834364,0.953574,289.31,4.9,João Neiva,501.32246376811594,514.288,518.7186666666666,533.3920289855073,651.8666666666667,540.3228444444444,178.0,100.0
LARANJA DA TERRA,Laranja da Terra,0.47,10.42,22.75,12.26,10.33,13.21,0.633,0.55,0.656,45.93,9.48,9868668.87,24.04,1177,8384.6,9284825.98,0.2532652360515022,0.3379545064377683,0.08235622317596565,0.0321030042918455,0.6354094420600852,0.2755364806866953,0.1562334763948498,0.4869298720028845,0.992558,291.81,5.2,,,,,,,,,
LINHARES,Linhares,0.52,8.97,47.87,33.73,2.52,9.62,0.721,0.63,0.724,32.67,11.15,160546892.57,29.34,26904,5967.4,181884469.01,0.2402286146858435,0.4469589536546412,0.09643746320127833,0.05088737488434719,0.5851080831020256,0.1618512911094289,0.1001542602405584,0.359070905231854,0.956735,284.58,4.7,Linhares,493.0430972388956,507.9751116071429,519.5795758928572,529.1108043217287,662.7901785714286,541.0638392857143,1156.0,100.0
MANTENOPOLIS,Mantenópolis,0.52,9.01,28.79,16.89,10.46,18.61,0.636,0.551,0.657,46.12,21.04,13558736.27,31.63,1464,9261.43,10011596.8,0.2744592626308603,0.3291474738279471,0.08765862539827028,0.03231679563040511,0.6743868912152942,0.3873463814292217,0.1358825671370051,0.6520751761942052,0.958371,287.65,4.8,,,,,,,,,
MARATAIZES,Marataízes,0.52,8.61,42.77,26.52,5.11,9.78,0.676,0.588,0.696,36.52,18.0,32417640.49,29.1,7860,4124.38,56273878.13,0.2819917006611338,0.3504639189759448,0.06241721761147827,0.07905471936981329,0.6521083134055485,0.4070192713461809,0.1408400618933743,0.6291349662524744,0.951837,295.92,5.1,Marataízes,492.15045871559636,513.4186046511628,528.6075581395348,549.0516819571865,682.2093023255813,551.6048643410853,400.0,100.0
MARECHAL FLORIANO,Marechal Floriano,0.48,9.29,36.54,21.6,1.38,9.61,0.715,0.589,0.71,32.51,6.1,18120261.01,26.55,2432,7450.77,16639791.58,0.2650874060150377,0.4237086466165412,0.1183806390977443,0.06109022556390977,0.6182763157894733,0.2025375939849624,0.1666644736842106,0.3641516920809478,0.998663,311.11,5.8,,,,,,,,,
MARILANDIA,Marilândia,0.39,8.57,30.83,18.37,1.64,12.11,0.668,0.612,0.696,40.68,9.95,14691533.83,32.13,1506,9755.33,10889434.64,0.2602294807370185,0.3918350083752093,0.0848266331658291,0.04221105527638194,0.6550251256281402,0.2487437185929648,0.1387604690117255,0.5357229353354324,0.950057,280.4,4.7,,,,,,,,,
MIMOSO DO SUL,Mimoso do Sul,0.49,8.19,35.47,22.94,3.8,12.85,0.672,0.541,0.67,37.65,8.04,15523838.01,22.83,2674,5805.47,22701830.01,0.2653922184630262,0.3011312228129531,0.07560947317544697,0.05036249395843394,0.6383078782020337,0.3710729821169647,0.1559052682455292,0.6642696629213484,0.95241,285.05,4.7,Mimoso do Sul,489.9236842105263,501.3244897959184,519.2948979591837,513.1515789473684,690.204081632653,541.9589509306261,238.0,100.0
MONTANHA,Montanha,0.52,9.49,32.52,22.55,3.68,17.39,0.679,0.535,0.667,40.38,13.22,15400468.68,25.12,2771,5557.73,21275101.02,0.278733158355206,0.3465508894721493,0.0638331875182268,0.06118401866433354,0.6644601924759452,0.4141878098571012,0.1220994459025955,0.7096296296296296,0.947579,,,Montanha,488.29639175257734,499.34536585365856,515.3980487804878,506.0412371134021,631.4146341463414,526.5101463414634,255.0,100.0
MUCURICI,Mucurici,0.48,9.22,31.24,17.7,6.48,19.87,0.617,0.577,0.666,33.98,19.69,8517096.91,27.22,718,11862.25,4443689.48,0.2727148717948719,0.3583938461538462,0.08063897435897438,0.05600000000000002,0.6656317948717944,0.3720512820512821,0.1035753846153847,0.7680204903036956,0.972203,274.42,4.5,,,,,,,,,
MUNIZ FREIRE,Muniz Freire,0.51,8.77,27.55,17.25,11.58,14.69,0.637,0.512,0.645,55.99,13.33,17924115.7,27.77,2485,7212.92,16275757.68,0.291396859083192,0.3842317487266553,0.106772920203735,0.07071307300509327,0.6746472835314105,0.3426358234295416,0.1694011035653649,0.5572632622706991,0.994949,292.04,5.2,,,,,,,,,
MUQUI,Muqui,0.52,9.39,38.63,27.5,5.88,11.48,0.673,0.619,0.694,34.62,15.33,13747820.91,32.25,1565,8784.55,10060381.81,0.2711192917054986,0.3215987884436161,0.08167334575955258,0.03811742777260018,0.6534095992544272,0.402260018639329,0.129710624417521,0.5825391051291379,0.915683,285.59,4.7,,,,,,,,,
NOVA VENECIA,Nova Venécia,0.48,9.52,40.61,28.33,2.79,11.39,0.692,0.621,0.712,31.76,8.61,40834174.69,29.57,7391,5524.85,50915145.35,0.2813364564162627,0.3848613016563485,0.09180642462773947,0.03389660364731466,0.6368460766270765,0.3870670905136356,0.1534785009201942,0.5283807194537858,0.96221,301.48,5.3,Nova Venécia,500.4401301518438,518.1707983193277,528.6617647058823,550.3006507592191,682.9411764705883,555.5926708507671,582.0,100.0
PANCAS,Pancas,0.5,8.87,32.45,18.66,5.29,17.56,0.648,0.562,0.667,39.69,16.84,17340776.73,29.83,2035,8521.27,13501486.86,0.2906950444726813,0.3333964421855146,0.09596018636171101,0.05091063108852177,0.6573744176196538,0.3455103769589157,0.2609301143583229,0.5430053458953051,0.991967,282.44,4.8,,,,,,,,,
PEDRO CANARIO,Pedro Canário,0.46,8.51,31.73,20.48,6.18,18.05,0.643,0.536,0.654,42.38,13.31,15678401.53,25.71,2904,5398.9,22324309.75,0.2694967044555764,0.3799280253097809,0.08563696282625873,0.03089902451885048,0.6354392301608263,0.3886105984708674,0.09643343000263636,0.6973329616206673,0.976568,277.83,4.6,Pedro Canário,467.097619047619,478.22,504.7233333333333,515.410119047619,601.6666666666666,510.75574585635366,210.0,100.0
PINHEIROS,Pinheiros,0.49,10.1,32.34,21.6,5.24,17.21,0.668,0.558,0.673,44.4,14.05,26922841.05,33.11,3695,7286.29,24659585.58,0.2624355863662625,0.3806666666666666,0.09064846909300964,0.03177354130560367,0.6413974581166988,0.3327556325823224,0.09732235701906422,0.6146769809742839,0.998328,280.47,4.7,Pinheiros,475.5822695035461,493.89664429530205,506.75771812080535,515.3893617021276,638.1208053691275,523.6968680089485,188.0,100.0
PIUMA,Piúma,0.49,9.04,50.14,33.03,3.49,7.61,0.702,0.643,0.727,30.06,10.82,17330723.44,31.06,3965,4370.93,29862183.34,0.2766187923250567,0.3815730812641082,0.07708465011286667,0.04034988713318279,0.6354130925507937,0.3932703160270881,0.1319825056433408,0.6266816143497758,0.970334,,,,,,,,,,,
PONTO BELO,Ponto Belo,0.5,9.57,34.92,24.45,9.5,21.69,0.631,0.605,0.669,32.43,23.26,9077292.78,33.01,906,10019.09,5694535.36,0.2788447121820616,0.3317054886211513,0.06801137884872822,0.02449799196787149,0.6703165997322618,0.4692101740294511,0.109298527443106,0.8122210250885024,0.987355,246.96,3.9,,,,,,,,,
PRESIDENTE KENNEDY,Presidente Kennedy,0.48,9.34,31.13,19.28,7.6,17.11,0.636,0.553,0.657,39.94,18.93,16949348.64,26.09,2924,5796.63,20774432.47,0.2789475088967972,0.3767112989323843,0.0620925266903914,0.03140569395017794,0.6640538256227768,0.3688834519572954,0.1704159252669038,0.6731892523364486,0.972852,274.08,4.6,,,,,,,,,
RIO BANANAL,Rio Bananal,0.5,9.19,29.44,17.85,5.63,13.27,0.68,0.579,0.681,42.72,8.81,26170329.51,31.41,3608,7253.42,23592837.69,0.280311736590547,0.4099495485926712,0.1277588953797131,0.08528943175783314,0.6629006903876786,0.1970260223048327,0.1989378651088688,0.4399190619487393,0.944228,288.7,4.8,,,,,,,,,
RIO NOVO DO SUL,Rio Novo do Sul,0.48,8.7,36.62,23.66,2.54,9.03,0.692,0.62,0.711,35.84,10.36,9360567.74,25.11,1257,7446.75,8442785.62,0.2736828012358393,0.4009021627188465,0.08235839340885688,0.05478887744593205,0.6561534500514928,0.3313594232749743,0.1164850669412978,0.4051856536272473,0.961007,287.93,4.9,,,,,,,,,
SANTA LEOPOLDINA,Santa Leopoldina,0.55,9.15,23.27,14.82,10.36,13.26,0.646,0.477,0.626,55.88,15.02,13595506.7,26.34,1411,9635.37,11206288.41,0.2872632541133457,0.3369987812309568,0.08669713589274824,0.04277879341864717,0.6798165752589878,0.4040219378427788,0.1731413772090191,0.4936670227376774,0.942323,264.55,4.1,,,,,,,,,
SANTA MARIA DE JETIBA,Santa Maria de Jetibá,0.49,8.72,25.64,15.53,4.49,10.92,0.695,0.521,0.671,51.05,4.2,54649378.87,31.71,4183,13064.64,28286727.94,0.2922897669706184,0.4349057750759877,0.1315501519756837,0.0466734211415062,0.6472012833502214,0.2648598446470787,0.228519419115164,0.3673984052262465,0.949709,306.14,5.3,Santa Maria de Jetibá,495.71469534050175,514.2795302013423,519.8922818791946,531.0971326164874,672.9530201342282,545.1551454138703,365.0,100.0
SANTA TERESA,Santa Teresa,0.48,9.21,38.85,25.52,1.09,9.84,0.722,0.604,0.714,33.35,5.61,26793735.02,33.96,2966,9033.63,19553257.21,0.2797251908396948,0.4002095766828591,0.1054365024288688,0.06953504510756417,0.6262172102706449,0.2827897293546148,0.194113809854268,0.3052437741143458,0.891702,306.54,5.0,Santa Teresa,502.2728346456693,521.6587786259543,529.3679389312977,541.9299212598426,671.7557251908397,552.6264885496183,316.0,100.0
